ID,Homework: Fundamentals (690331),Homework: Recursion (711087),Homework: Generators (712610),Homework: Classes (713464),Homework: Classes and Lists (714905),Homework: Composition (715374),Homework: Stacks and Queues (690337),Midterm,Homework: Mathematical Expressions (690340),Homework: Mathematical Expressions as Classes (690334),Homework: Mathematical Expressions with Class Inheritance (690335),Homework: Graphs (690333),Homework: Task Scheduling with Dependencies (690339),Final Exam
98,40,50,60,40,45,30,40,20.9,45,30,30,40,30,24
99,30,40,60,25,35,30,35,14,40,30,10,40,30,16
100,40,50,60,40,45,30,40,37.6,45,30,30,40,30,18
101,40,40,50,40,40,30,40,23.8,45,30,30,40,24,23
102,40,40,60,40,35,30,40,41,45,30,30,40,30,36
103,40,50,50,40,40,30,40,37,45,30,30,40,30,27
104,40,40,50,40,40,30,40,32,45,24,30,32,24,21
105,40,50,50,40,36,30,20,30,45,30,30,40,30,29
106,40,40,60,40,45,30,40,32,40,30,30,40,30,26
107,40,50,60,40,35,30,40,37,40,30,30,40,30,31
108,40,40,40,30,28,0,32,19,0,0,0,0,0,
109,40,40,50,40,35,30,40,23,45,30,30,40,30,17
110,40,50,60,40,45,30,40,18,45,30,30,40,30,17
111,40,40,60,40,40,0,40,32,0,0,0,40,30,17
112,40,50,50,40,45,30,40,38,45,30,30,40,30,26
113,40,50,60,40,45,30,40,44,45,30,30,40,30,29
114,40,40,50,40,40,30,40,22,40,30,10,40,30,16
115,40,40,50,40,35,30,20,24,32,24,24,32,0,18
116,40,50,60,40,45,30,40,43,45,30,30,40,30,28
117,40,50,60,40,45,30,40,18,45,30,30,40,30,17
118,40,50,50,35,35,30,40,39,40,30,30,40,30,34
119,40,50,60,40,45,30,40,38,45,30,30,40,30,30
120,40,50,60,40,45,30,40,30.5,45,30,30,40,30,36
