ID,Homework: Fundamentals (690331),Homework: Recursion (711087),Homework: Generators (712610),Homework: Classes (713464),Homework: Classes and Lists (714905),Homework: Composition (715374),Homework: Stacks and Queues (690337),Midterm,Homework: Mathematical Expressions (690340),Homework: Mathematical Expressions as Classes (690334),Homework: Mathematical Expressions with Class Inheritance (690335),Homework: Graphs (690333),Homework: Task Scheduling with Dependencies (690339),Final Exam
38,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,70.73170731707317,112.5,100.0,100.0,100.0,100.0,56.75675675675676
39,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,104.8780487804878,112.5,100.0,100.0,100.0,100.0,105.40540540540539
40,100.0,125.0,120.0,100.0,114.28571428571428,100.0,100.0,85.36585365853658,112.5,100.0,100.0,100.0,100.0,62.16216216216216
41,100.0,125.0,120.0,100.0,128.57142857142858,100.0,87.5,47.3170731707317,112.5,100.0,100.0,100.0,100.0,43.24324324324324
42,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,112.19512195121952,112.5,100.0,100.0,100.0,100.0,86.48648648648648
43,100.0,100.0,120.0,100.0,100.0,100.0,100.0,63.41463414634146,112.5,100.0,100.0,100.0,100.0,59.45945945945946
44,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,72.4390243902439,112.5,100.0,100.0,100.0,100.0,67.56756756756756
45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5609756097561,100.0,100.0,100.0,100.0,100.0,62.16216216216216
46,100.0,100.0,120.0,100.0,100.0,0.0,100.0,90.2439024390244,112.5,100.0,80.0,80.0,80.0,83.78378378378379
47,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,95.1219512195122,112.5,100.0,66.66666666666666,100.0,100.0,70.27027027027027
48,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,112.5,100.0,100.0,100.0,100.0,75.67567567567568
49,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,74.8780487804878,112.5,100.0,100.0,100.0,100.0,48.64864864864865
50,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,97.5609756097561,112.5,100.0,100.0,100.0,100.0,94.5945945945946
51,100.0,125.0,100.0,100.0,128.57142857142858,66.66666666666666,100.0,36.58536585365854,50.0,26.666666666666668,33.33333333333333,100.0,100.0,45.94594594594595
52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.21951219512195,0.0,0.0,66.66666666666666,100.0,100.0,64.86486486486487
53,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,49.26829268292683,112.5,100.0,100.0,100.0,100.0,40.54054054054054
54,100.0,100.0,120.0,75.0,128.57142857142858,100.0,100.0,75.60975609756098,112.5,100.0,100.0,100.0,100.0,62.16216216216216
